,x [m],r [m],M [-],T [K],P [Pa]
0,0.0,0.06349999999999999,2.843653947216259,1663.5549658048112,82990.10074401769
1,0.0031508300033114933,0.06349999999999999,2.810792747688357,1682.6163336740756,88013.15897264224
2,0.006301660006622987,0.06349999999999999,2.777110502017142,1702.3745813233124,93475.67535894628
3,0.00945249000993448,0.06349999999999999,2.742557768994205,1722.8749917637053,99428.98531445483
4,0.012603320013245973,0.06349999999999999,2.7070801135483293,1744.1673000088124,105932.08084212123
5,0.015754150016557465,0.06349999999999999,2.6706173678887817,1766.306309005663,113053.02940880788
6,0.01890498001986896,0.06349999999999999,2.633102744011052,1789.3526205603882,120870.71399455004
7,0.022055810023180453,0.06349999999999999,2.5944617588139187,1813.373509350737,129476.98218125556
8,0.025206640026491946,0.06349999999999999,2.5546109204058505,1838.4439768633335,138979.3209981977
9,0.02835747002980344,0.06349999999999999,2.513456106447844,1864.648034217057,149504.2144173004
10,0.03150830003311493,0.06349999999999999,2.470890540114336,1892.080279951565,161201.3971855222
11,0.03465913003642643,0.06349999999999999,2.4267922326531344,1920.847863444707,174249.3003088674
12,0.03780996003973792,0.06349999999999999,2.381020707346916,1951.0729607159383,188862.1030540929
13,0.040960790043049415,0.06349999999999999,2.3334127377067078,1982.895943565842,205298.98514974836
14,0.044111620046360905,0.06349999999999999,2.283776705489685,2016.4795065266867,223876.44680923162
15,0.0472624500496724,0.06349999999999999,2.231884980914913,2052.0141486403027,244984.99549678064
16,0.05041328005298389,0.06349999999999997,2.1774633920581707,2089.7256245552326,269112.19915719616
17,0.05356411005629538,0.06349999999999997,2.1201762756734155,2129.8853501824524,296875.2868591776
18,0.05671494005960688,0.06349999999999997,2.0596045725360965,2172.8254090415912,329068.5566387759
19,0.05986577006291837,0.06349999999999997,1.9952124893424341,2218.9610470994708,366734.7019424083
20,0.06301660006622986,0.06349999999999997,1.9262943519681768,2268.8260287552403,411276.7628923855
21,0.06616743006954136,0.06349999999999997,1.851884824886407,2323.1315996199355,464643.58237937896
22,0.06931826007285286,0.06349999999999997,1.7705954780281425,2382.8726130638115,529659.6228168765
23,0.07246909007616435,0.06349999999999997,1.680285834714736,2449.53910985188,610671.3987821811
24,0.07561992007947584,0.06349999999999997,1.5772989681112122,2525.60422539724,715006.6088222966
25,0.07877075008278733,0.06349999999999997,1.4542315829517198,2615.939246926026,857102.4339548452
26,0.08192158008609883,0.06349999999999997,1.2897634495544434,2734.240040424088,1076742.7482102497
27,0.08507241008941031,0.06349999999999997,0.7756771405044863,3059.804798207877,1923600.8441741092
28,0.08822324009272181,0.06349999999999997,0.5521318885595177,3165.158181951954,2290581.593669364
29,0.09137407009603331,0.06349999999999997,0.43970682935401323,3206.6351915420914,2449681.2874951195
30,0.0945249000993448,0.06349999999999997,0.36458594431281977,3229.5663986025284,2541392.494018006
31,0.09767573010265629,0.06349999999999997,0.3095585453869176,3243.8090140634795,2599733.980157709
32,0.10082656010596779,0.06349999999999997,0.2672129209232585,3253.2549275191714,2639018.828487925
33,0.10397739010927928,0.06349999999999997,0.23357098867943962,3259.8027817311645,2666530.62071336
34,0.10712822011259077,0.06349999999999997,0.20622588773662265,3264.4930428932153,2686379.207047828
35,0.11027905011590226,0.06349999999999997,0.18360647999400476,3267.9405669298694,2701044.4947068323
36,0.11342988011921376,0.06349999999999997,0.16463171394525833,3270.5287991530968,2712096.8317194097
37,0.11658071012252526,0.06349999999999997,0.1485283238705636,3272.506863770388,2720568.168772252
38,0.11973154012583674,0.06349999999999997,0.13472640902979208,3274.041974151156,2727157.1820780244
39,0.12288237012914824,0.06349999999999997,0.12279580338838496,3275.249410056402,2732348.781549809
40,0.12603320013245972,0.06349999999999997,0.11240539118032732,3276.2104617560162,2736486.697187726
41,0.12918403013577123,0.06349999999999997,0.10329607484938254,3276.9835751881023,2739819.08868514
42,0.13233486013908272,0.06349999999999997,0.09526224128700546,3277.6114902927607,2742528.030936836
43,0.1354856901423942,0.06349999999999997,0.0881387180951383,3278.125933969667,2744749.045151342
44,0.1386365201457057,0.06349999999999997,0.08179138822100598,3278.5507757568084,2746584.312920476
45,0.1417873501490172,0.06349999999999997,0.07611030735733372,3278.904192146863,2748111.784800591
46,0.1449381801523287,0.06349999999999997,0.07100457264013413,3279.200177202881,2749391.564283032
47,0.1480890101556402,0.06349999999999997,0.06639844107413642,3279.4496135680743,2750470.449651886
48,0.15123984015895167,0.06272444813763536,0.06222835524035548,3279.6610426148213,2751385.2094506025
49,0.15439067016226318,0.060905315587052714,0.05844063778506028,3279.8412254126556,2752164.9741230966
50,0.15754150016557467,0.05908618303647008,0.05498968562907283,3279.9955561620905,2752833.0022995584
51,0.16069233016888615,0.05726705048588744,0.05183654217363787,3280.128370205785,2753407.999007266
52,0.16384316017219766,0.05544791793530479,0.0,3281.188239511196,2758000.0
53,0.16699399017550914,0.05362878538472217,0.0,3281.188239511196,2758000.0
54,0.17014482017882063,0.05180965283413953,0.0,3281.188239511196,2758000.0
55,0.17329565018213214,0.04999052028355688,0.0,3281.188239511196,2758000.0
56,0.17644648018544362,0.04817138773297425,0.0,3281.188239511196,2758000.0
57,0.1795973101887551,0.04635225518239161,0.0,3281.188239511196,2758000.0
58,0.18274814019206662,0.04453312263180896,0.0,3281.188239511196,2758000.0
59,0.1858989701953781,0.042713990081226325,0.0,3281.188239511196,2758000.0
60,0.1890498001986896,0.040894857530643675,0.0,3281.188239511196,2758000.0
61,0.1922006302020011,0.03907572498006104,0.0,3281.188239511196,2758000.0
