Time (s),Thrust (kN)
0.0,4.279528730516076
0.004004004004004004,4.274602064243876
0.008008008008008008,4.269681069633693
0.012012012012012012,4.264765740156215
0.016016016016016016,4.259856069289645
0.02002002002002002,4.254952050519694
0.024024024024024024,4.2500536773395705
0.028028028028028028,4.245160943249976
0.03203203203203203,4.2402738417590955
0.036036036036036036,4.235392366382584
0.04004004004004004,4.230516510643563
0.044044044044044044,4.22564626807261
0.04804804804804805,4.22078163220775
0.05205205205205205,4.215922596594449
0.056056056056056056,4.211069154785601
0.06006006006006006,4.206221300341525
0.06406406406406406,4.201379026829949
0.06806806806806806,4.196542327826011
0.07207207207207207,4.191711196912241
0.07607607607607608,4.186885627678559
0.08008008008008008,4.182065613722266
0.08408408408408408,4.177251148648031
0.08808808808808809,4.172442226067886
0.0920920920920921,4.167638839601219
0.0960960960960961,4.16284098287476
0.10010010010010009,4.158048649522581
0.1041041041041041,4.153261833186077
0.10810810810810811,4.148480527513967
0.11211211211211211,4.143704726162279
0.11611611611611611,4.138934422794347
0.12012012012012012,4.134169611080798
0.12412412412412413,4.129410284699547
0.12812812812812813,4.124656437335784
0.13213213213213212,4.119908062681974
0.13613613613613612,4.115165154437838
0.14014014014014015,4.110427706310352
0.14414414414414414,4.105695712013738
0.14814814814814814,4.100969165269452
0.15215215215215216,4.096248059806181
0.15615615615615616,4.091532389359827
0.16016016016016016,4.086822147673509
0.16416416416416416,4.082117328497543
0.16816816816816815,4.077417925589446
0.17217217217217218,4.072723932713916
0.17617617617617617,4.068035343642832
0.18018018018018017,4.063352152155243
0.1841841841841842,4.058674352037358
0.1881881881881882,4.054001937082543
0.1921921921921922,4.049334901091303
0.1961961961961962,4.044673237871287
0.20020020020020018,4.040016941237266
0.2042042042042042,4.035366005011139
0.2082082082082082,4.03072042302191
0.2122122122122122,4.026080189105691
0.21621621621621623,4.02144529710569
0.22022022022022023,4.016815740872202
0.22422422422422422,4.012191514262602
0.22822822822822822,4.007572611141336
0.23223223223223222,4.002959025379915
0.23623623623623624,3.9983507508569014
0.24024024024024024,3.993747781457909
0.24424424424424424,3.9891501110755883
0.24824824824824826,3.9845577336096207
0.25225225225225223,3.979970642966711
0.25625625625625625,3.9753888330605798
0.2602602602602603,3.970812297811952
0.26426426426426425,3.9662410311485523
0.2682682682682683,3.9616750270050956
0.27227227227227224,3.9571142793232794
0.27627627627627627,3.9525587820517765
0.2802802802802803,3.948008529146224
0.28428428428428426,3.943463514569219
0.2882882882882883,3.9389237322903097
0.2922922922922923,3.934389176285984
0.2962962962962963,3.9298598405396667
0.3003003003003003,3.925335719041707
0.30430430430430433,3.920816805789374
0.3083083083083083,3.9163030947868473
0.3123123123123123,3.9117945800452083
0.3163163163163163,3.907291255582432
0.3203203203203203,3.9027931154233815
0.32432432432432434,3.8983001535997994
0.3283283283283283,3.8938123641502966
0.33233233233233234,3.8893297411203482
0.3363363363363363,3.884852278562284
0.34034034034034033,3.8803799705352815
0.34434434434434436,3.8759128111053567
0.3483483483483483,3.871450794345357
0.35235235235235235,3.866993914334953
0.3563563563563564,3.8625421651606313
0.36036036036036034,3.858095540915687
0.36436436436436437,3.853654035700213
0.3683683683683684,3.8492176436210963
0.37237237237237236,3.8447863587920073
0.3763763763763764,3.8403601753333922
0.38038038038038036,3.8359390873724672
0.3843843843843844,3.831523089043208
0.3883883883883884,3.827112174486345
0.3923923923923924,3.822706337849352
0.3963963963963964,3.818305573286442
0.40040040040040037,3.813909874958557
0.4044044044044044,3.809519237033361
0.4084084084084084,3.8051336536852314
0.4124124124124124,3.8007531190952544
0.4164164164164164,3.7963776274512124
0.42042042042042044,3.792007172947582
0.4244244244244244,3.78764174978552
0.42842842842842843,3.783281352172861
0.43243243243243246,3.7789259743241073
0.4364364364364364,3.7745756104604204
0.44044044044044045,3.7702302548096167
0.4444444444444444,3.765889901606155
0.44844844844844844,3.7615545450911334
0.45245245245245247,3.757224179512279
0.45645645645645644,3.752898799123942
0.46046046046046046,3.7485783981870853
0.46446446446446443,3.7442629709692805
0.46846846846846846,3.7399525117446966
0.4724724724724725,3.7356470147940963
0.47647647647647645,3.731346474404824
0.4804804804804805,3.7270508848708035
0.4844844844844845,3.7227602404925255
0.48848848848848847,3.718474535577042
0.4924924924924925,3.7141937644379603
0.4964964964964965,3.7099179213954327
0.5005005005005005,3.7056470007761506
0.5045045045045045,3.701380996913336
0.5085085085085085,3.6971199041467364
0.5125125125125125,3.692863716822614
0.5165165165165165,3.6886124292937392
0.5205205205205206,3.684366035919385
0.5245245245245245,3.6801245310653177
0.5285285285285285,3.675887909103789
0.5325325325325325,3.67165616441353
0.5365365365365365,3.667429291379743
0.5405405405405406,3.663207284394095
0.5445445445445445,3.6589901378547074
0.5485485485485485,3.654777846166153
0.5525525525525525,3.6505704037394437
0.5565565565565566,3.646367804992028
0.5605605605605606,3.642170044347779
0.5645645645645646,3.6379771162369905
0.5685685685685685,3.633789015096368
0.5725725725725725,3.62960573536902
0.5765765765765766,3.6254272715044555
0.5805805805805806,3.62125361795857
0.5845845845845846,3.6170847691936427
0.5885885885885885,3.612920719678329
0.5925925925925926,3.6087614638876504
0.5965965965965966,3.60460699630299
0.6006006006006006,3.6004573114120832
0.6046046046046046,3.596312403709011
0.6086086086086087,3.592172267694195
0.6126126126126126,3.5880368978743857
0.6166166166166166,3.583906288762658
0.6206206206206206,3.5797804348784044
0.6246246246246246,3.575659330747326
0.6286286286286287,3.571542970901426
0.6326326326326326,3.567431349879002
0.6366366366366366,3.563324462224641
0.6406406406406406,3.559222302489208
