,x [m],r [m],M [-],T [K],P [Pa]
0,0.0,0.06349999999999997,2.7154160457571517,1408.289102281498,106307.79797279178
1,0.0030823782859722543,0.06349999999999997,2.679001262198673,1426.9700131840468,113272.93248465579
2,0.006164756571944509,0.06349999999999997,2.6428447717806542,1445.755716091869,120636.93454582033
3,0.009247134857916763,0.06349999999999997,2.6065273231023194,1464.8623211552003,128510.76780209503
4,0.012329513143889017,0.06349999999999997,2.5695824547910195,1484.5419082686685,137040.92807977085
5,0.015411891429861272,0.06349999999999997,2.531490272081155,1505.0875979380896,146418.98211688446
6,0.018494269715833525,0.06349999999999997,2.4916682262577217,1526.8408965475635,156895.1613633025
7,0.02157664800180578,0.06349999999999997,2.4494575893141572,1550.2023087286893,168798.22448352756
8,0.024659026287778035,0.06349999999999997,2.404103642574093,1575.6466921163794,182565.15301276115
9,0.027741404573750288,0.06349999999999997,2.3547264293552588,1603.745650220511,198786.6328286374
10,0.030823782859722544,0.06349999999999997,2.300276805482305,1635.2007118788845,218278.67887743618
11,0.0339061611456948,0.06349999999999997,2.2394684844891013,1670.8937496369065,242199.29170358615
12,0.03698853943166705,0.06349999999999997,2.1707493717475943,1711.9177905992433,272209.30183529685
13,0.04007091771763931,0.06349999999999997,2.0935116771152065,1758.84810204453,310074.98244158673
14,0.04315329600361156,0.06349999999999997,2.00813443930624,1811.6528174503421,357547.4732573671
15,0.04623567428958381,0.06349999999999997,1.9150500643349104,1870.2057974999236,416736.33957393205
16,0.04931805257555607,0.06349999999999997,1.8147482792074388,1934.2477591498114,490096.4395260336
17,0.052400430861528326,0.06349999999999997,1.7078155267550528,2003.3196060348134,580317.3343264982
18,0.055482809147500575,0.06349999999999997,1.5949776538227578,2076.6911283046775,690075.3807079156
19,0.05856518743347283,0.06349999999999997,1.477143842002802,2153.295392134413,821594.347542957
20,0.06164756571944509,0.06349999999999997,1.3554471226801088,2231.6868446041444,975989.7651276003
21,0.06472994400541734,0.06349999999999997,1.2312735999665965,2310.0482019872247,1152454.0533510165
22,0.0678123222913896,0.06349999999999997,1.1062694373004787,2386.2726534837043,1347478.500524398
23,0.07089470057736184,0.06349999999999997,0.9771922329348035,2461.009990148221,1563225.0447906994
24,0.0739770788633341,0.06349999999999997,0.828476343559094,2540.459302418301,1821688.977156386
25,0.07705945714930636,0.06349999999999997,0.6975433932666484,2602.9855276389935,2047985.327814604
26,0.08014183543527861,0.06349999999999997,0.5844104313455765,2650.3336714610396,2233720.677775386
27,0.08322421372125087,0.06349999999999997,0.4882734298067147,2685.0621961239654,2378244.3652636525
28,0.08630659200722313,0.06349999999999997,0.40771833352607334,2709.915044777334,2486143.0042790934
29,0.08938897029319537,0.06349999999999997,0.34096894892734364,2727.3941992830178,2564324.5404414935
30,0.09247134857916763,0.06349999999999997,0.2861146811211819,2739.5569904129684,2619866.6778823663
31,0.09555372686513988,0.06349999999999997,0.2412854637641113,2747.9799440544675,2658886.0366891026
32,0.09863610515111214,0.06349999999999997,0.20476483443260582,2753.8135796022484,2686179.1971939406
33,0.1017184834370844,0.06349999999999997,0.1750480080986368,2757.8700612894318,2705288.2831083713
34,0.10480086172305665,0.06349999999999997,0.1508590089902611,2760.710434301116,2718732.574633846
35,0.10788324000902891,0.06349999999999997,0.13114169355893845,2762.717328111259,2728263.64751269
36,0.11096561829500115,0.06349999999999997,0.11503686000269504,2764.1500887418847,2735084.2487430703
37,0.11404799658097341,0.06349999999999997,0.10185398290486697,2765.184292787975,2740015.9272904065
38,0.11713037486694566,0.06349999999999997,0.09104279196349926,2765.9390969901406,2743619.7126648054
39,0.12021275315291792,0.06349999999999997,0.08216744158463521,2766.495770799328,2746279.9370979206
40,0.12329513143889018,0.06349999999999997,0.0748844106580027,2766.910103668515,2748261.271147045
41,0.12637750972486242,0.06349999999999997,0.0689243452494089,2767.2206628024337,2749747.103129696
42,0.1294598880108347,0.06349999999999997,0.0640775948539643,2767.454278481817,2750865.228047891
43,0.13254226629680693,0.06349999999999997,0.060183018002077725,2767.629687256625,2751705.0014556013
44,0.1356246445827792,0.06349999999999997,0.0571196236538231,2767.759948797431,2752328.7629012684
45,0.13870702286875145,0.06349999999999997,0.054800698626803986,2767.8540372605917,2752779.3781208773
46,0.1417894011547237,0.06349999999999997,0.053170214189603965,2767.9178619813965,2753085.0853285547
47,0.14487177944069596,0.06349999999999997,0.05220150323882708,2767.954870319379,2753262.3599314517
48,0.1479541577266682,0.06349999999999997,0.051897363381955414,2767.9663494305005,2753317.348158136
49,0.15103653601264047,0.06349999999999997,0.051897363381955414,2767.9663494305005,2753317.348158136
50,0.1541189142986127,0.06349999999999997,0.051897363381955414,2767.9663494305005,2753317.348158136
51,0.15720129258458498,0.06349999999999997,0.051897363381955414,2767.9663494305005,2753317.348158136
52,0.16028367087055723,0.0633153124314878,0.051897363381955414,2767.9663494305005,2753317.348158136
53,0.16336604915652947,0.06273769872704123,0.051897363381955414,2767.9663494305005,2753317.348158136
54,0.16644842744250174,0.061800409362190056,0.051897363381955414,2767.9663494305005,2753317.348158136
55,0.16953080572847398,0.06053737546587424,0.051897363381955414,2767.9663494305005,2753317.348158136
56,0.17261318401444625,0.05898252816703371,0.051897363381955414,2767.9663494305005,2753317.348158136
57,0.1756955623004185,0.05716979859460847,0.051897363381955414,2767.9663494305005,2753317.348158136
58,0.17877794058639074,0.05513311787753842,0.051897363381955414,2767.9663494305005,2753317.348158136
59,0.181860318872363,0.05290641714476352,0.051897363381955414,2767.9663494305005,2753317.348158136
