0,363.69
0.025,364.89
0.05,363.23
0.075,363.28
0.1,362.3
0.125,361.94
0.15,361.2
0.175,360.69
0.2,360.04
0.225,359.48
0.25,358.86
0.275,358.27
0.3,357.67
0.325,357.07
0.35,356.47
0.375,355.86
0.4,355.26
0.425,354.66
0.45,354.05
0.475,353.45
0.5,352.84
0.525,352.23
0.55,351.62
0.575,351.01
0.6,350.4
0.625,349.79
0.65,349.18
0.675,348.57
0.7,347.96
0.725,347.34
0.75,346.73
0.775,346.11
0.8,345.49
0.825,344.88
0.85,344.26
0.875,343.64
0.9,343.02
0.925,342.4
0.95,341.78
0.975,341.15
1,340.53
1.025,339.91
1.05,339.28
1.075,338.66
1.1,338.03
1.125,337.4
1.15,336.77
1.175,336.14
1.2,335.51
1.225,334.88
1.25,334.25
1.275,333.62
1.3,332.98
1.325,332.35
1.35,331.71
1.375,331.07
1.4,330.43
1.425,329.8
1.45,329.15
1.475,328.52
1.5,327.87
1.525,327.23
1.55,326.58
1.575,325.94
1.6,325.29
1.625,324.64
1.65,323.99
1.675,323.35
1.7,322.69
1.725,322.04
1.75,321.39
1.775,320.74
1.8,320.08
1.825,319.42
1.85,318.76
1.875,318.11
1.9,317.44
1.925,316.78
1.95,316.12
1.975,315.46
2,314.79
2.025,314.12
2.05,313.46
2.075,312.78
2.1,312.11
2.125,311.44
2.15,310.77
2.175,310.09
2.2,309.41
2.225,308.73
2.25,308.06
2.275,307.37
2.3,306.69
2.325,306.01
2.35,305.32
2.375,304.63
2.4,303.94
2.425,303.25
2.45,302.56
2.475,301.86
2.5,301.17
2.525,300.47
2.55,299.77
2.575,299.07
2.6,298.36
2.625,297.66
2.65,296.95
2.675,296.24
2.7,295.53
2.725,294.81
2.75,294.1
2.775,293.38
2.8,292.66
2.825,291.94
2.85,291.21
2.875,290.49
2.9,289.76
2.925,289.02
2.95,288.29
2.975,287.55
3,286.82
3.025,286.07
3.05,285.33
3.075,284.58
